item,location,figure_file,source_data,generating_script,status,notes
Figure S2,Supplementary Material,figures/Appendix/FigureS02_simulation1_kmeans_pc10_ari_nmi.pdf,Source_Data/FigureS02_simulation1_kmeans_pc10_ari_nmi_source_data.csv; Source_Data/simulation_figures_input_alpha005.csv,scripts/figures/plot_simulation_support_from_source_data.R,verified,k-means PC10 ARI/NMI sensitivity analysis; 20 seeded runs averaged within each simulation replicate.
Figure S3,Supplementary Material,figures/Appendix/FigureS03_simulation1_louvain_pc10_ari_nmi.pdf,Source_Data/FigureS03_simulation1_louvain_pc10_ari_nmi_source_data.csv; Source_Data/simulation_figures_input_alpha005.csv,scripts/figures/plot_simulation_support_from_source_data.R,verified,Louvain PC10 ARI/NMI sensitivity analysis.
Figure S4,Supplementary Material,figures/Appendix/FigureS04_simulation2_pcwise_pc10.pdf,Source_Data/FigureS04_simulation2_pcwise_pc10_source_data.csv; Source_Data/FigureS04_simulation2_pcwise_pc10_replicate_source_data.csv; Source_Data/FigureS04_simulation2_pcwise_pc1_pc20_source_data.csv; Source_Data/FigureS04_simulation2_pcwise_validation.csv,scripts/figures/plot_simulation2_pcwise_from_source_data.R,verified,"Source-Data-only regeneration; mean absolute cosine across corresponding PC1-PC10 loading vectors; 10 paired clean/perturbed replicates per condition; subspace values independently reproduced to machine precision."
Figure S5,Supplementary Material,figures/Appendix/FigureS05_simulation2_pcwise_rank.pdf,Source_Data/FigureS05_simulation2_pcwise_rank_source_data.csv,scripts/figures/plot_simulation2_pcwise_from_source_data.R,verified,"Source-Data-only regeneration; condition-specific ranks of median PC1-PC10 absolute cosine similarity; identity dropout condition excluded from ranking."
Figure S6,Supplementary Material,figures/Appendix/FigureS06_simulation1_pc10_vs_pc20_gmm_ari.pdf,Source_Data/FigureS06_simulation1_pc10_vs_pc20_gmm_ari_source_data.csv,scripts/figures/plot_simulation_support_from_source_data.R,verified,"Simulation PC10/PC20 sensitivity across 19 unique conditions; repeated midpoint-0 and mean-shift-anchor representations are counted once in the pooled plot."
Figure S7,Supplementary Material,figures/Appendix/FigureS07_realdata_pc10_vs_pc20_gmm_reproducibility.pdf,Source_Data/FigureS07_realdata_pc10_vs_pc20_gmm_reproducibility_source_data.csv,scripts/figures/plot_realdata_from_source_data.R,verified,"PC10/PC20 means use validated formal PCP XV results for PBMC RNA-only, Pancreas, and Bhattacherjee."
Figure S8,Supplementary Material,figures/Appendix/FigureS08_alpha_sensitivity.pdf,Source_Data/FigureS08_alpha_sensitivity_source_data.csv,scripts/figures/plot_alpha_sensitivity_from_source_data.R,verified,"Paired changes from alpha=0.05 for GMM, alternative clustering, and subspace metrics across 19 unique conditions per metric; repeated midpoint-0 and mean-shift-anchor representations are counted once."
Table S1,Supplementary Material,Embedded,Source_Data/simulation_figures_input_alpha005.csv; Source_Data/subspace_figures_input_alpha005.csv,Manual table,verified,Simulation parameter settings.
Table S2,Supplementary Material,Embedded,Source_Data/Table_PcaGrid_QC_source_data.csv,Manual table,verified,PcaGrid quality-control summary.
Table S3,Supplementary Material,Embedded,Source_Data/Appendix_simulation1_dropout_pcp_ktau_paired_difference.csv,scripts/figures/build_dropout_paired_comparison.R,verified,Paired K's tau minus PCP comparison.
Table S4,Supplementary Material,Embedded,Source_Data/TableS04_subspace_clustering_correlations_source_data.csv,scripts/figures/build_subspace_clustering_correlations.R,verified,"Spearman correlations across 190 condition-method means from 19 unique conditions, including dropout.mid=0 identity; the shared mean-shift anchor is counted once; values are also reported after excluding PcaGrid (n=171); descriptive, no hypothesis tests."
